SSDSE-A-2026,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R18209,ïüà‰åß,âzëOés,80611,39657,40954,75526,37034,38492,10151,5288,4863,45994,23525,22469,23740,10381,13359,12380,4895,7485,4649,478,1081,1535,1643,29634,29578,79045,15898,8129,6841,3452,2882,282,95,23070,8879,4151,48,1,1,454,610,7,23,84,1056,63,155,133,386,342,113,263,33,379,42890,481,12,10,2736,16284,89,145,1684,6732,641,545,677,2385,1015,990,4331,470,3663,1122,618,465,93.0,10.1,41301483,14222988,40077527,13127650,5250515,3687794,34728,10,178,17,310,3939,8,182,2065,0,0,0,0,3,2230,42876,23174,19702,1216,762,454,22881,8432,14449,1043,18778,21976,18,2,79859,1375,768,337,13,6,48,31,102,42,132,6
R18210,ïüà‰åß,ç‚à‰és,88481,42719,45762,86348,41736,44612,11535,5878,5657,50701,25321,25380,25434,11135,14299,12916,5097,7819,1409,527,1165,1784,1828,31067,31008,86873,17475,7316,7533,3773,2716,307,111,20967,13606,3592,65,8,1,414,575,7,42,115,880,39,83,125,338,303,86,209,33,269,35608,691,61,1,2610,11064,124,914,2000,6852,489,246,1018,2287,1105,445,3597,739,1365,1311,365,586,92.4,7.8,48020469,12828249,46256167,15164717,3503640,5802227,3608,12,30,19,357,4540,5,188,2428,0,0,0,0,3,1419,46022,24404,21618,1581,1004,577,25055,9222,15833,1739,15592,28591,26,4,89056,1790,705,270,11,4,47,25,81,33,108,21
R18322,ïüà‰åß,âiïΩéõí¨,18965,9231,9734,18546,9033,9513,2127,1064,1063,10848,5485,5363,5640,2471,3169,3014,1145,1869,236,97,230,402,479,7285,7163,18555,3314,2411,1598,742,554,51,14,9443,2578,699,15,0,1,98,116,0,3,16,133,8,37,23,61,60,23,40,7,58,7893,289,0,10,621,1199,0,16,232,896,53,75,95,331,164,1565,1924,31,392,253,239,166,97.4,7.9,11566876,2117080,11215795,3155820,1116583,1046636,4257,1,16,7,86,784,3,53,471,0,0,0,0,0,0,9955,5316,4639,301,195,106,5902,2293,3609,295,2611,6877,8,3,17944,128,115,47,2,1,12,7,420,21,88,8
R18382,ïüà‰åß,írìcí¨,2423,1196,1227,2409,1183,1226,195,103,92,1150,620,530,1078,473,605,660,253,407,14,5,49,38,57,948,945,2374,425,310,300,150,167,1,1,19465,1755,151,12,0,0,23,30,0,1,3,27,1,0,4,15,11,1,5,3,15,932,137,0,0,122,210,0,1,20,109,1,0,7,62,35,1,122,18,87,110,123,48,78.6,7.0,5075174,258182,4355713,448702,433402,466601,8115,0,0,1,11,69,1,12,40,0,0,0,0,0,0,1304,721,583,21,13,8,884,349,535,124,458,719,1,1,2249,0,26,12,0,0,4,1,2,2,0,0
R18404,ïüà‰åß,ìÏâzëOí¨,10002,4804,5198,9945,4781,5164,1163,626,537,5072,2582,2490,3767,1596,2171,2087,748,1339,57,36,175,129,190,3266,3257,9686,1698,659,967,499,439,18,10,34369,3034,382,18,3,2,55,31,0,0,8,68,3,3,10,61,27,16,35,9,33,2596,203,66,35,283,481,0,0,50,434,12,5,20,264,64,47,456,69,107,228,253,147,87.2,2.3,10765569,1297454,10068527,1894535,908935,937585,812325,0,0,4,55,428,1,24,253,0,0,0,0,0,0,5088,2712,2376,220,158,62,3444,1259,2185,291,1803,2963,10,3,9645,255,65,36,1,0,8,1,9,2,2,2
R18423,ïüà‰åß,âzëOí¨,20118,9725,10393,19943,9616,10327,2327,1175,1152,10595,5397,5198,7177,3138,4039,3709,1376,2333,174,100,357,330,412,6581,6566,19377,3638,1282,1954,926,757,56,21,15315,3947,967,22,4,0,148,157,0,3,13,223,12,12,20,111,68,18,59,14,83,6753,200,55,0,617,2157,0,9,94,1114,71,30,47,610,141,73,1125,89,321,424,390,173,95.7,9.0,14904313,2351559,14255949,3774909,1307045,1316618,65440,0,0,8,97,883,4,64,513,0,0,0,0,1,330,10351,5591,4760,351,226,125,6733,2536,4197,682,3667,5915,5,4,20143,872,202,51,1,2,9,5,17,7,21,7
R18442,ïüà‰åß,î¸ïlí¨,9179,4610,4569,9062,4567,4495,997,536,461,4816,2630,2186,3294,1400,1894,1720,635,1085,70,47,142,212,273,3745,3738,9004,1908,1234,1037,553,502,31,8,15238,2565,483,11,5,0,75,29,3,6,10,78,4,11,19,87,36,4,28,8,69,4885,114,43,0,976,287,1010,22,104,437,30,42,204,402,106,24,346,47,691,198,220,132,76.0,7.6,13183640,4810943,12343611,1714706,1792342,1124927,0,0,0,3,43,367,1,21,187,0,0,0,0,0,0,4921,2888,2033,141,95,46,2924,988,1936,326,1050,3497,7,1,8846,1362,61,28,0,0,10,2,6,4,3,3
R18481,ïüà‰åß,çÇïlí¨,10326,5424,4902,10119,5344,4775,1201,620,581,5571,3111,2460,3285,1449,1836,1740,671,1069,144,63,150,222,276,4500,4491,10149,2256,1738,1056,546,567,39,7,7240,1911,522,12,1,0,92,26,1,1,12,83,5,13,18,122,40,11,19,13,53,5175,295,10,0,1230,348,567,4,111,469,39,40,223,525,108,47,538,87,534,195,245,143,63.1,7.2,14232698,6335654,12958573,1875923,2244584,893659,0,0,0,5,50,457,2,31,247,0,0,0,0,0,0,5554,3332,2222,112,74,38,2808,960,1848,333,1429,3586,4,1,9726,319,65,38,1,1,8,2,11,3,14,3
R18483,ïüà‰åß,Ç®Ç®Ç¢í¨,7910,3968,3942,7834,3957,3877,1088,536,552,4241,2316,1925,2548,1088,1460,1369,498,871,68,43,124,184,236,3165,3161,7798,1703,999,801,420,384,36,13,21219,2558,463,13,4,0,96,26,1,0,6,62,2,13,12,76,46,11,21,6,68,4179,104,38,0,1065,274,464,0,108,342,13,45,206,272,163,63,276,43,703,252,273,123,94.8,1.0,11346344,3896113,10857215,1838188,961185,1043341,107679,0,0,4,55,413,2,34,249,0,0,0,0,0,0,4252,2489,1763,80,45,35,2305,792,1513,366,1051,2758,4,2,7793,27,54,24,0,0,7,3,6,4,4,0
R18501,ïüà‰åß,é·ã∑í¨,14003,6702,7301,13894,6640,7254,1728,861,867,7127,3621,3506,5104,2191,2913,2872,1083,1789,85,64,230,191,314,4830,4819,13510,2653,1037,1414,725,582,40,14,17849,5111,736,33,1,0,98,62,1,3,10,154,8,10,18,143,57,9,41,11,77,5926,449,9,0,533,1849,4,5,123,855,40,43,37,599,184,11,829,86,270,459,380,163,87.7,14.2,12505521,1895873,11475812,2420426,987454,831498,0,0,0,9,105,662,2,42,387,0,0,0,0,1,440,7230,3957,3273,189,127,62,4662,1652,3010,653,1901,4654,8,2,13661,455,130,54,1,1,8,3,18,6,16,9
R19201,éRóúåß,çbï{és,189591,92850,96741,180962,88457,92505,21391,10917,10474,108390,55747,52643,54487,22908,31579,30262,11514,18748,4743,1070,2642,6354,6481,87019,86821,182873,45453,35370,19108,10014,11646,735,301,21247,7647,10482,22,0,1,738,688,18,155,128,2609,266,759,578,1364,923,388,910,52,883,100235,174,0,5,5990,10109,502,2602,3540,20526,4579,2504,3367,8784,3299,5307,15959,410,12578,938,847,965,93.8,8.0,87314176,29410916,85316489,38055838,7110317,7241807,0,24,1369,30,646,8814,18,379,5175,0,0,0,0,13,8818,88125,48119,40006,3391,2106,1285,56102,20686,35416,2107,19302,63396,10,2,185227,411,1743,1178,39,11,219,129,719,196,651,22
R19202,éRóúåß,ïxémãgìcés,46530,22645,23885,44903,21869,23034,5088,2576,2512,26184,13169,13015,14006,6201,7805,7384,2941,4443,437,239,607,1293,1402,18337,18311,45433,10450,5214,4890,2471,1962,142,51,12174,1804,3221,3,2,0,409,488,4,27,39,670,62,120,117,521,264,85,214,7,189,23597,13,12,0,2116,4932,46,328,538,4465,678,445,521,3170,1066,803,2178,269,2017,89,598,360,81.6,9.2,35211597,6790685,33533047,7724190,2218301,2400431,0,4,421,8,177,2079,5,100,1134,0,0,0,0,4,1713,23068,12600,10468,1208,801,407,13551,4759,8792,252,8116,14554,0,1,46846,5637,503,432,12,1,54,31,106,46,115,7
R19204,éRóúåß,ìsóØés,31016,14949,16067,30122,14542,15580,3133,1607,1526,18015,8917,9098,8772,3913,4859,4538,1846,2692,517,128,450,1089,1154,14044,14027,30413,6416,6079,3023,1507,1327,90,31,16163,2528,1786,9,1,1,185,323,4,11,30,342,18,142,64,196,158,54,111,9,128,14183,55,2,17,941,3568,10,23,670,2739,448,271,269,1052,957,860,1372,62,867,140,733,159,89.6,11.2,19964000,3867812,19209753,4928917,1380413,4383676,0,2,130,7,122,1195,3,57,628,0,0,0,0,1,379,14489,7826,6663,643,386,257,9439,3470,5969,230,4890,9169,1,1,28977,3270,272,159,8,2,16,13,43,13,50,6
R19205,éRóúåß,éRóúés,33435,16081,17354,33005,15877,17128,3754,1932,1822,18013,8962,9051,11396,5015,6381,6102,2424,3678,185,134,551,769,791,13001,12968,32320,8033,3389,3996,1991,1869,74,50,28980,5267,1422,21,2,3,144,140,4,7,24,331,16,55,46,162,131,57,137,16,126,11158,221,5,16,798,1783,21,43,323,2202,184,137,133,1057,613,222,2812,309,279,1519,385,280,96.0,11.8,26380188,4197453,24331963,6519309,1714532,1828450,288,3,148,9,145,1457,3,68,766,0,0,0,0,2,1028,17034,9030,8004,615,390,225,10145,3731,6414,3102,3249,10482,12,1,33200,258,272,127,5,3,26,14,132,24,104,9
R19206,éRóúåß,ëÂåéés,22512,10924,11588,22208,10779,11429,1657,801,856,11464,5837,5627,9093,4121,4972,4780,1938,2842,170,61,418,426,552,9254,9232,22106,5297,2566,3265,1738,1393,38,18,28025,3748,1165,10,0,0,146,188,11,11,23,214,15,73,41,109,90,36,76,14,108,7923,72,0,0,900,1959,158,40,407,1093,164,155,172,533,311,153,1121,68,617,44,750,150,89.6,14.3,14232253,4312796,13540287,3918665,1122134,1295283,0,2,32,5,78,613,2,43,409,0,0,0,0,1,494,10134,5659,4475,500,346,154,9257,3612,5645,186,3150,6587,81,1,21835,1096,180,86,2,1,20,13,26,18,29,3
R19207,éRóúåß,îBçËés,29067,14500,14567,28547,14264,14283,3164,1654,1510,16909,8806,8103,8906,3982,4924,4432,1822,2610,487,136,380,860,945,11552,11526,28302,6957,3262,3164,1612,1412,102,41,14369,5103,1400,15,0,1,152,174,5,10,32,293,18,77,50,163,104,43,108,16,139,15306,115,0,7,1077,6486,81,45,461,1983,233,189,218,986,553,190,1555,267,860,947,805,186,86.7,9.6,17180945,6230709,16540169,4560322,1594743,1824664,5874,2,156,5,100,1119,2,52,620,0,0,0,0,2,1100,14881,8355,6526,717,465,252,9380,3477,5903,1320,5032,8471,12,1,28150,213,232,126,3,4,38,13,73,18,88,3
R19208,éRóúåß,ìÏÉAÉãÉvÉXés,69459,34164,35295,68331,33656,34675,9188,4765,4423,40547,20514,20033,19302,8646,10656,9461,3858,5603,971,475,859,1945,1608,26059,26014,68235,17036,5882,7027,3558,2702,223,115,26414,7084,2573,21,0,3,326,306,5,7,94,542,25,125,70,216,244,88,245,32,224,24337,175,0,48,1693,8660,62,74,1443,4153,368,317,238,1120,802,391,3259,472,1062,1867,1166,418,88.9,3.8,37025213,9218125,33309170,12286058,2324257,3637951,979,1,138,16,309,3722,8,170,1897,0,0,0,0,2,945,35813,19579,16234,1275,814,461,19241,6902,12339,3171,11489,20689,8,6,71563,1208,422,165,14,4,36,28,80,39,95,16
R19209,éRóúåß,ñkìmés,44053,21492,22561,43545,21289,22256,4257,2195,2062,22112,11273,10839,17619,7973,9646,9074,3716,5358,506,141,767,1582,1200,18893,18862,42971,11373,5645,6433,3879,3308,106,54,60248,14366,2459,89,1,3,268,226,14,20,50,513,17,95,83,495,159,73,150,38,165,19952,1201,3,14,1120,5537,38,47,872,3234,132,343,486,2757,849,328,1823,215,953,1973,1969,426,83.3,5.7,32256824,7743048,31069943,7671398,3206710,3551729,43498,0,0,9,157,1732,9,125,1080,0,0,0,0,4,1348,21374,11694,9680,738,481,257,15481,5948,9533,3140,5285,12814,8,8,45684,7966,441,275,4,2,23,19,45,21,54,13
R19210,éRóúåß,çbî„és,75313,37238,38075,73488,36302,37186,9721,4932,4789,42576,21598,20978,19088,8428,10660,9236,3766,5470,965,560,771,2691,2680,31039,30986,73584,18813,9136,7403,3882,3145,344,118,7195,4043,2818,16,0,0,332,208,9,13,37,623,35,278,108,302,301,117,263,12,164,22107,243,0,0,1826,2562,14,355,829,5888,355,648,505,2114,1421,590,3385,211,1161,380,766,382,88.4,5.3,33948483,9616373,31780315,13081871,2100944,3886656,158,3,116,11,293,3925,6,158,2036,0,0,0,0,2,1048,36417,20084,16333,1589,1035,554,21916,8030,13886,909,10574,24747,7,4,76512,1038,479,254,16,4,67,31,83,38,130,18
R19211,éRóúåß,ìJêÅés,66947,32447,34500,65266,31707,33559,7915,4029,3886,37628,18890,18738,19870,8698,11172,10372,4176,6196,874,435,953,1874,1974,26916,26866,65517,15694,7830,6856,3400,3348,253,109,20192,8372,2716,37,2,0,267,242,5,16,77,621,25,175,78,344,239,63,245,21,259,27575,291,11,0,1650,4700,46,634,1367,4857,277,395,473,3450,1553,347,5384,350,1790,3022,590,376,87.8,7.5,42430697,8996167,39394882,12372794,3448785,4361753,0,1,44,14,294,3037,5,138,1558,0,0,0,0,1,649,35265,18852,16413,1208,712,496,16832,5855,10977,5536,7318,21419,6,6,67289,3405,465,245,9,8,41,28,116,37,126,19
R19212,éRóúåß,è„ñÏå¥és,22669,11331,11338,22315,11117,11198,1834,936,898,12395,6472,5923,8254,3805,4449,4287,1744,2543,319,60,337,419,618,9509,9494,22172,5341,3003,2987,1473,1261,56,20,17057,3081,1093,9,1,2,133,209,2,4,28,193,12,122,30,89,86,24,63,15,71,9854,69,28,11,513,3475,7,18,289,1559,126,269,136,551,568,511,1223,183,318,54,762,153,87.0,12.1,13108376,3132993,12397370,3139286,1617796,925623,0,3,84,4,70,692,3,48,379,0,0,0,0,2,1157,10952,6183,4769,633,448,185,8660,3418,5242,183,3594,7083,12,2,21710,1368,161,77,5,1,16,10,33,14,29,3
R19213,éRóúåß,çbèBés,29237,14068,15169,29045,13998,15047,3032,1554,1478,15440,7737,7703,10717,4743,5974,5791,2317,3474,162,139,476,591,724,11152,11135,28515,6885,2655,3659,1840,1681,64,31,26411,5303,1344,31,0,1,159,142,5,9,34,311,15,47,28,170,115,35,91,17,134,9556,216,0,5,786,1805,9,37,435,2199,167,95,102,873,384,219,1629,197,398,1904,391,238,90.3,15.2,22449629,4187409,21461188,5482360,1587016,1742995,0,1,30,14,177,1230,5,82,650,0,0,0,0,1,185,15416,8247,7169,488,326,162,8695,3097,5598,3615,2826,8556,13,4,29634,3246,260,120,5,2,24,14,36,19,52,7
R19214,éRóúåß,íÜâõés,31216,15509,15707,28809,14351,14458,3512,1761,1751,17372,8825,8547,7548,3416,4132,3497,1446,2051,1646,151,313,1127,1109,13552,13544,30845,7270,4867,2906,1574,1078,98,40,3169,2617,1279,20,0,0,122,106,0,8,54,327,16,135,47,112,104,45,80,6,97,17144,271,0,0,607,4155,0,100,1287,4026,111,254,186,743,389,1101,2226,144,1544,483,343,189,87.9,7.0,15830955,4953081,13868668,4625241,1347076,1628698,0,0,0,7,127,1480,3,62,771,0,0,0,0,0,0,14967,8279,6688,717,450,267,8028,2927,5101,836,4993,8917,6,3,30660,320,222,97,6,1,23,13,493,34,132,6
R19346,éRóúåß,ésêÏéOãΩí¨,14700,7164,7536,14467,7050,7417,1418,751,667,7372,3802,3570,5525,2400,3125,3126,1206,1920,213,47,284,273,332,5803,5797,14410,3551,1447,1983,1006,960,35,14,7518,2749,635,3,0,0,83,111,3,1,11,153,12,18,16,54,49,13,43,5,60,4390,3,0,0,374,1585,5,2,241,742,124,44,59,178,144,77,537,113,162,169,529,146,98.2,12.0,9560543,1659566,9163829,2823248,812992,843959,5918,2,122,6,80,600,4,51,279,0,0,0,0,1,797,6946,3866,3080,348,246,102,5486,2028,3458,285,2321,4301,7,2,14466,120,113,42,1,1,9,6,15,8,14,7
R19364,éRóúåß,ëÅêÏí¨,1098,627,471,1091,624,467,72,43,29,573,393,180,451,190,261,287,100,187,7,2,31,45,45,675,504,899,197,274,116,69,165,4,4,36996,1758,78,2,0,3,12,2,2,1,2,10,0,1,1,24,4,1,2,5,6,548,14,0,59,197,5,4,2,14,49,0,1,1,94,21,9,29,15,34,3,56,42,77.3,2.8,3911454,472226,3512390,329572,1001294,241036,0,0,0,2,15,27,1,10,16,0,0,0,0,0,0,598,426,172,11,3,8,415,154,261,27,238,332,7,0,896,210,9,6,0,0,7,0,0,0,1,1
R19365,éRóúåß,êgâÑí¨,10663,5226,5437,10562,5164,5398,665,339,326,4898,2631,2267,5065,2224,2841,2998,1133,1865,96,24,300,166,322,4588,4562,10223,2379,1519,1668,843,1008,19,6,30198,5889,689,9,1,4,83,63,1,1,16,171,8,8,12,70,48,9,37,12,136,4374,65,16,46,443,874,1,1,176,664,72,26,101,366,151,71,749,37,515,63,641,135,72.9,-1.8,11002740,1363748,9978203,2164076,665734,1974756,7590,1,0,3,35,235,1,20,156,0,0,0,0,2,251,4946,2789,2157,231,170,61,4760,1880,2880,144,1476,3321,15,1,10129,991,149,38,0,3,11,5,17,6,17,5
R19366,éRóúåß,ìÏïîí¨,7156,3496,3660,7097,3457,3640,568,295,273,3464,1829,1635,3124,1372,1752,1645,613,1032,59,15,152,130,174,2819,2812,7042,1509,758,991,510,507,13,5,20087,2558,381,6,0,4,59,41,0,1,11,88,7,8,9,35,31,7,17,5,52,2422,67,0,76,280,729,0,3,122,403,45,11,33,98,205,34,149,22,145,110,625,76,73.4,1.2,6352456,914271,5549978,1289823,520674,549296,69056,1,13,3,36,209,1,16,133,0,0,0,0,0,0,3489,1982,1507,142,107,35,2956,1112,1844,105,1292,2089,15,2,6856,0,78,26,0,0,9,3,4,3,1,2
R19368,éRóúåß,ïxémêÏí¨,14219,6848,7371,13948,6742,7206,1530,770,760,7635,3937,3698,4929,2082,2847,2739,1016,1723,144,60,230,337,382,5638,5626,13900,3348,1545,1679,794,852,43,10,11200,2005,632,5,1,2,73,64,0,5,18,142,12,24,23,57,61,13,52,9,71,4675,41,5,15,508,1196,0,20,218,909,117,59,96,358,161,87,660,38,187,124,539,131,84.9,10.9,11160645,1586139,10786741,2267290,817655,1454902,1450,2,88,3,51,557,2,36,334,0,0,0,0,0,0,7042,3883,3159,345,234,111,4827,1726,3101,265,2271,4491,16,0,14141,650,122,45,1,2,11,8,25,10,27,4
R19384,éRóúåß,è∫òaí¨,20909,10451,10458,19697,9934,9763,3283,1651,1632,13097,6806,6291,3984,1747,2237,1986,822,1164,692,180,170,1187,1018,9117,9109,20620,4971,3496,1425,729,638,84,44,908,908,1617,4,0,0,142,84,1,15,38,498,25,116,50,251,147,56,80,3,107,19120,41,0,0,1058,4647,1,151,1412,4195,254,321,284,2319,1135,445,1002,11,1844,128,167,81,87.7,8.8,10510118,4973883,10044624,3568888,877926,1127757,0,0,0,3,87,1325,1,40,613,0,0,0,0,1,690,10392,5794,4598,503,297,206,4750,1639,3111,243,3170,6950,1,1,21177,74,378,231,5,1,35,15,32,21,76,3
R19422,éRóúåß,ìπéuë∫,1607,811,796,1598,806,792,146,77,69,847,447,400,614,287,327,296,123,173,9,6,20,42,61,613,613,1607,295,164,175,101,97,2,2,7968,496,129,6,0,0,22,19,0,0,0,11,1,1,4,43,8,3,2,1,8,522,27,0,0,109,159,0,0,0,52,1,1,6,105,33,3,11,3,12,12,144,30,83.3,9.8,2708343,190061,2579867,324679,183943,169998,40171,0,0,1,11,52,1,9,25,0,0,0,0,0,0,885,497,388,19,12,7,548,221,327,89,327,455,3,0,1544,10,10,9,0,0,1,1,1,1,0,1
R19423,éRóúåß,êºåjí¨,4041,1947,2094,4012,1934,2078,443,212,231,2367,1177,1190,1231,558,673,620,245,375,29,17,49,75,147,1484,1483,4037,935,298,451,220,156,12,6,1522,225,182,0,1,0,19,55,2,1,4,43,3,2,2,12,13,0,7,1,17,1068,0,20,0,53,460,3,1,38,290,19,6,6,32,18,0,62,4,56,10,119,50,83.6,6.9,3391053,448332,3297443,665172,331230,248303,0,0,0,1,18,192,1,12,94,0,0,0,0,0,0,2075,1108,967,129,84,45,1315,499,816,25,862,1184,0,0,4011,156,36,12,0,0,2,2,2,2,4,1
R19424,éRóúåß,îEñÏë∫,9237,5137,4100,8980,5010,3970,1377,712,665,6032,3612,2420,1809,806,1003,806,303,503,238,107,88,494,532,3489,3480,8743,1670,1290,476,227,157,95,10,2505,990,391,4,0,0,90,58,0,1,5,75,5,9,10,66,26,8,18,2,14,6644,14,0,0,509,4746,0,3,62,475,33,20,30,346,78,20,250,13,45,58,223,93,72.5,-3.6,6889798,3490885,5770929,1087187,886012,624317,0,1,64,1,36,573,1,20,289,0,0,0,0,0,0,5434,3634,1800,98,59,39,2048,595,1453,76,2853,2395,0,1,9817,50,66,32,0,0,6,3,4,4,3,3
R19425,éRóúåß,éRíÜåŒë∫,5179,2559,2620,5055,2487,2568,606,316,290,2822,1432,1390,1731,801,930,823,350,473,121,27,55,241,224,1969,1966,5080,1061,548,523,310,237,18,6,5305,1380,457,2,0,0,35,14,0,3,11,54,6,23,4,229,27,10,7,2,30,3319,14,0,0,201,222,0,7,181,389,48,101,9,1359,282,107,180,8,211,1,131,75,73.5,1.8,5336209,3246473,4735092,727820,572129,384631,0,0,0,2,32,234,1,16,94,0,0,0,0,0,0,2750,1503,1247,84,58,26,1574,593,981,36,593,2117,2,1,5767,0,45,44,1,0,3,1,6,1,4,2
R19429,éRóúåß,ñ¬ëÚë∫,2824,1390,1434,2802,1380,1422,329,172,157,1498,755,743,957,443,514,467,192,275,21,12,44,102,86,1056,1054,2763,645,224,330,185,112,10,1,8958,1216,158,2,0,0,29,22,2,4,3,23,1,6,4,28,14,2,8,4,6,1568,22,0,0,92,612,2,9,38,138,1,44,8,207,282,4,63,23,23,63,80,44,74.2,-2.2,2465794,828463,2272771,520534,124489,220587,0,0,0,1,13,139,0,0,0,0,0,0,0,0,0,1517,822,695,58,38,20,867,330,537,136,449,927,2,0,3079,74,21,11,0,0,4,1,1,1,2,1
R19430,éRóúåß,ïxémâÕå˚åŒí¨,26082,12839,13243,25613,12634,12979,3439,1728,1711,15422,7855,7567,6860,3033,3827,3439,1358,2081,373,166,299,974,1002,10653,10643,25762,5794,3463,2306,1147,937,97,30,15840,3585,1605,12,0,0,131,111,1,5,22,335,16,80,37,524,113,38,79,9,92,14232,41,0,0,728,2891,8,76,340,2407,160,430,129,4050,759,297,1243,54,619,69,342,178,75.4,10.7,15616528,4560547,13987714,3607107,914581,1794340,0,0,0,9,143,1501,4,72,725,0,0,0,0,1,472,13973,7617,6356,616,412,204,6966,2472,4494,326,3933,9689,27,4,26940,481,275,238,5,1,22,16,54,25,57,7
R19442,éRóúåß,è¨êõë∫,684,344,340,676,339,337,68,35,33,306,162,144,310,147,163,165,66,99,8,3,6,33,48,339,339,684,156,142,94,66,82,3,1,5278,323,63,2,0,0,10,4,1,0,1,17,1,0,0,13,7,0,1,2,4,314,7,0,0,52,50,3,0,2,37,1,0,0,46,56,0,15,10,35,4,48,20,84.2,9.3,1843558,77729,1547239,155976,248000,212871,0,0,0,1,7,20,1,11,16,0,0,0,0,0,0,337,189,148,3,3,0,274,117,157,27,75,235,9,1,642,0,15,2,0,0,1,0,1,0,0,0
R19443,éRóúåß,íOîgéRë∫,530,272,258,529,272,257,39,20,19,255,142,113,236,110,126,138,57,81,1,2,15,32,34,283,283,530,140,126,93,50,65,3,0,10130,262,39,1,1,0,1,3,1,0,1,7,0,0,0,14,3,0,2,1,4,137,10,12,0,16,6,4,0,2,18,0,0,0,37,3,0,11,3,15,4,59,18,94.3,7.8,2372450,40386,2334056,183651,150915,112895,0,0,0,1,10,15,1,7,6,0,0,0,0,0,0,259,155,104,16,12,4,216,85,131,21,43,194,4,0,519,6,7,3,0,0,2,1,1,1,0,0
R20201,í∑ñÏåß,í∑ñÏés,372760,181284,191476,361952,176290,185662,42777,21735,21042,201890,101348,100542,108243,46914,61329,58572,23286,35286,3094,2147,4817,9366,9803,156975,156645,363580,86000,52425,38140,20016,16501,1338,455,83481,31164,17811,115,1,3,1797,958,43,271,331,4212,356,1824,935,1875,1409,548,1514,140,1478,184932,1849,2,20,14349,22519,1327,6017,9950,36742,6854,5463,5730,13940,7442,5136,27571,2335,17678,3824,6078,1807,90.6,4.9,170676355,59736362,165123960,59113334,16358504,14353156,1365147,22,2154,58,1157,17387,28,803,9669,0,0,0,0,19,9329,185176,100593,84583,6000,3567,2433,105599,37588,68011,9927,39383,128507,46,4,366231,9410,2858,1520,69,22,297,202,1014,296,883,70
R20202,í∑ñÏåß,èºñ{és,241145,118271,122874,234020,115245,118775,30107,15507,14600,139128,71247,67881,66647,28806,37841,36797,14517,22280,3425,1406,2899,7991,8202,104934,104707,235083,54831,39707,22649,11457,11012,997,348,97847,23333,12452,76,0,0,1026,682,19,164,243,3105,243,1110,581,1784,1049,427,1010,76,857,121650,860,0,0,7797,15138,375,2434,6307,26144,3396,3793,3391,11973,4895,4120,17010,1582,12435,3034,3151,1405,86.9,3.4,115090206,37521099,112001774,38582902,9595308,16333778,232003,15,1400,33,791,11885,25,543,6344,0,0,0,0,11,7659,118889,64967,53922,4006,2503,1503,68200,24672,43528,6061,26923,82328,36,11,235664,2365,2047,1393,42,13,231,138,1322,244,814,44
R20203,í∑ñÏåß,è„ìcés,154055,75365,78690,149325,73037,76288,18338,9361,8977,86410,44014,42396,47130,20702,26428,25573,10292,15281,3148,869,2193,3648,3836,64296,64116,149825,36591,20782,16520,8555,7485,528,249,55204,15586,7108,72,2,1,674,817,9,66,114,1696,120,525,331,836,591,196,528,60,470,73947,586,6,3,3832,19283,212,1075,2095,14407,1603,1450,1932,5725,2401,1824,11606,874,5033,1690,3554,1010,89.7,5.2,76452042,22111519,73656302,24835299,9349997,6395794,582244,12,709,24,506,7279,12,325,3950,0,0,0,0,6,4862,75376,41235,34141,2765,1763,1002,47534,17655,29879,3332,24405,45312,257,4,152002,8798,1236,623,33,11,100,69,305,133,400,35
R20204,í∑ñÏåß,â™íJés,47790,23213,24577,47015,22885,24130,5452,2767,2685,25609,13216,12393,16522,7109,9413,9523,3828,5695,723,210,746,1139,1291,19274,19239,46609,11199,5681,5677,2805,2568,122,58,8510,2191,2398,11,1,0,204,531,3,18,28,555,41,133,98,198,207,60,154,21,135,22590,112,1,0,1110,8847,14,150,437,3993,448,278,370,1078,969,269,2440,196,1878,65,383,339,86.2,7.3,22977981,6818285,22072298,7324887,2152529,1832173,542653,3,123,7,149,1981,4,97,1064,0,0,0,0,3,1383,23563,12997,10566,1036,688,348,16607,6120,10487,344,9673,13404,15,1,47220,802,403,161,8,3,30,28,95,48,107,14
